optimizer,loss,epoch,batch_size,learning_rate,idx_repeat,Loss,Accuracy
adam,categorical_crossentropy,250,30,1e-05,0,0.5025833249092102,0.8616071343421936
adam,categorical_crossentropy,250,30,1e-05,1,0.6511008143424988,0.824999988079071
adam,categorical_crossentropy,250,30,1e-05,2,0.5491957068443298,0.8366071581840515
adam,categorical_crossentropy,250,30,1e-05,3,0.5292145609855652,0.8419643044471741
adam,categorical_crossentropy,250,30,1e-05,4,0.5366157293319702,0.856249988079071
adam,categorical_crossentropy,250,30,1e-05,5,0.6131830811500549,0.8303571343421936
adam,categorical_crossentropy,250,30,1e-05,6,0.5244830250740051,0.8473214507102966
adam,categorical_crossentropy,250,30,1e-05,7,0.5653524398803711,0.824999988079071
adam,categorical_crossentropy,250,30,1e-05,8,0.6040449142456055,0.8339285850524902
adam,categorical_crossentropy,250,30,1e-05,9,0.5838378071784973,0.8374999761581421
