optimizer,loss,epoch,batch_size,learning_rate,idx_repeat,Loss,Accuracy
adam,categorical_crossentropy,250,30,1e-05,0,0.6299024820327759,0.787536084651947
adam,categorical_crossentropy,250,30,1e-05,1,0.5912320613861084,0.8015487790107727
adam,categorical_crossentropy,250,30,1e-05,2,0.5963576436042786,0.7956486940383911
adam,categorical_crossentropy,250,30,1e-05,3,0.6146667003631592,0.7984143495559692
adam,categorical_crossentropy,250,30,1e-05,4,0.6095845103263855,0.792883038520813
adam,categorical_crossentropy,250,30,1e-05,5,0.5904955267906189,0.8078790307044983
adam,categorical_crossentropy,250,30,1e-05,6,0.5971257090568542,0.7920226454734802
adam,categorical_crossentropy,250,30,1e-05,7,0.6133489608764648,0.7917767763137817
adam,categorical_crossentropy,250,30,1e-05,8,0.6192523837089539,0.7996435165405273
adam,categorical_crossentropy,250,30,1e-05,9,0.6023844480514526,0.7987216711044312
adam,categorical_crossentropy,250,30,1e-05,10,0.5943629145622253,0.8040685653686523
adam,categorical_crossentropy,250,30,1e-05,11,0.5968534350395203,0.8187572956085205
