optimizer,loss,epoch,batch_size,learning_rate,idx_repeat,Loss,Accuracy
adam,categorical_crossentropy,250,30,1e-05,0,0.5805282592773438,0.8501118421554565
adam,categorical_crossentropy,250,30,1e-05,1,0.6371008157730103,0.8434004187583923
adam,categorical_crossentropy,250,30,1e-05,2,0.6850354075431824,0.8680089712142944
adam,categorical_crossentropy,250,30,1e-05,3,1.1291313171386719,0.8478747010231018
adam,categorical_crossentropy,250,30,1e-05,4,0.8327652215957642,0.8120805621147156
adam,categorical_crossentropy,250,30,1e-05,5,0.648430347442627,0.8165547847747803
adam,categorical_crossentropy,250,30,1e-05,6,0.7125957012176514,0.8478747010231018
adam,categorical_crossentropy,250,30,1e-05,7,0.994847297668457,0.827740490436554
adam,categorical_crossentropy,250,30,1e-05,8,1.1384280920028687,0.818791925907135
adam,categorical_crossentropy,250,30,1e-05,9,0.8530774116516113,0.8523489832878113
adam,categorical_crossentropy,250,30,1e-05,10,0.698503315448761,0.8612975478172302
adam,categorical_crossentropy,250,30,1e-05,11,1.0354214906692505,0.8165547847747803
adam,categorical_crossentropy,250,30,1e-05,12,0.68443363904953,0.8322147727012634
adam,categorical_crossentropy,250,30,1e-05,13,0.777142345905304,0.8232662081718445
adam,categorical_crossentropy,250,30,1e-05,14,0.8450726270675659,0.8322147727012634
adam,categorical_crossentropy,250,30,1e-05,15,0.7503536343574524,0.827740490436554
